id,ab_resistance,shield_glycans,region,env_length
137,-1.15039813827642,6,N.Africa,854
138,-1.00844754166281,3,N.Africa,850
139,-0.356111970544321,4,N.Africa,854
140,-0.799543233338978,5,N.Africa,848
141,-0.356065059770102,5,N.Africa,867
142,-0.453417267870327,5,N.Africa,867
143,-0.40332626688892,6,N.Africa,867
144,-0.731475718914238,5,N.Africa,862
145,-1.51989689441539,6,N.Africa,860
146,-1.3493965985768,6,N.Africa,867
147,-1.77211244757324,6,N.Africa,853
148,-0.391488730918263,5,N.Africa,850
149,-0.264667134593359,6,N.Africa,857
150,-0.149992890838299,5,N.Africa,859
151,-0.952220358809895,6,N.Africa,865
152,-1.58243981975728,7,N.Africa,860
153,-1.42416208356627,5,N.Africa,853
154,-0.643244937979409,5,N.Africa,846
155,0.219220441843704,5,N.Africa,844
156,-0.261526288596976,6,N.Africa,869
157,-1.26945032030901,5,N.Africa,847
158,-0.925815304288575,6,N.Africa,875
159,-1.27977614014221,6,N.Africa,857
160,-1.08666958540669,6,N.Africa,862
161,-0.445989773073567,5,N.Africa,853
162,-0.854672380568565,5,N.Africa,855
163,-0.627535074248858,7,N.Africa,861
164,-0.828764184238587,6,N.Africa,847
165,-0.000693692772526079,6,N.Africa,861
166,-0.279611550498716,4,N.Africa,863
167,-0.347185875241308,5,N.Africa,863
168,-1.01958061883004,4,N.Africa,848
169,-0.567061083130656,5,N.Africa,855
170,-0.982519121122698,5,N.Africa,859
171,-1.02843759630983,5,N.Africa,858
172,-1.42534478677958,4,N.Africa,844
173,-1.23198291548226,3,N.Africa,840
174,-1.54813145612929,3,N.Africa,840
175,-0.644854935814473,5,Europe.Americas,858
176,-1.00533526854064,3,Europe.Americas,858
177,-0.413383692418037,6,Asia,860
178,-0.929726561911255,6,Asia,846
179,-0.431058202028735,6,Asia,870
180,-0.560270195646476,3,Asia,777
181,0.366976362602502,3,Asia,859
182,-1.17254623789579,6,Asia,850
183,1.47799692994984,5,Asia,850
184,2,4,Asia,872
185,-0.121816660269252,5,Asia,846
186,-0.592694326492864,5,Asia,857
187,-0.075801503239241,7,Asia,851
188,-0.370559260412793,6,Asia,848
189,-0.0284525901310888,5,Asia,866
190,-0.254489095741744,4,Asia,845
191,-0.945198516076929,7,Europe.Americas,852
192,-0.384291654670285,5,Europe.Americas,844
193,-1.42673854666284,6,Europe.Americas,857
194,-0.801055064344163,5,Europe.Americas,862
195,-1.00869638848441,6,Europe.Americas,854
196,0.20457386433596,6,Europe.Americas,858
197,-0.284168872110645,5,Europe.Americas,875
198,-0.365639039143188,7,Europe.Americas,867
199,-0.500114603044773,5,Europe.Americas,865
200,-0.225603093945653,5,Europe.Americas,861
201,-0.266165223128362,6,Europe.Americas,848
202,0.122926157720092,5,Europe.Americas,853
203,-0.103289159738073,7,Europe.Americas,853
204,1.0112295448891,5,Europe.Americas,869
205,-0.255861652363653,6,Europe.Americas,854
206,-0.720350623676238,6,Europe.Americas,865
207,-0.509767106564323,6,Europe.Americas,760
208,-0.0850890776408183,6,Europe.Americas,860
